Season,Round,TeamID,OppTeamID,TeamSeed,OppTeamSeed,AvgPoints,AvgFGM,AvgFGA,AvgFGM3,AvgFGA3,AvgFTM,AvgFTA,AvgOR,AvgDR,AvgAst,AvgTO,AvgStl,AvgBlk,AvgPF,AvgOppPoints,AvgOppFGM,AvgOppFGA,AvgOppFGM3,AvgOppFGA3,AvgOppFTM,AvgOppFTA,AvgOppOR,AvgOppDR,AvgOppAst,AvgOppTO,AvgOppStl,AvgOppBlk,AvgOppPF,PomeroyRank,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,OppO,OppD,NCSOSAdjEM,MooreRank,W,L,T,MooreSOS,MoorePR,OppAvgPoints,OppAvgFGM,OppAvgFGA,OppAvgFGM3,OppAvgFGA3,OppAvgFTM,OppAvgFTA,OppAvgOR,OppAvgDR,OppAvgAst,OppAvgTO,OppAvgStl,OppAvgBlk,OppAvgPF,OppAvgOppScore,OppAvgOppFGM,OppAvgOppFGA,OppAvgOppFGM3,OppAvgOppFGA3,OppAvgOppFTM,OppAvgOppFTA,OppAvgOppOR,OppAvgOppDR,OppAvgOppAst,OppAvgOppTO,OppAvgOppStl,OppAvgOppBlk,OppAvgOppPF,OppPomeroyRank,OppConf,OppAdjEM,OppAdjO,OppAdjD,OppAdjT,OppLuck,OppSOSAdjEM,OppOppO,OppOppD,OppNCSOSAdjEM,OppMooreRank,OppW,OppL,OppT,OppMooreSOS,OppMoorePR,Outcome
2010,0,1115,1457,16a,16b,63.5173611111111,21.288194444444443,51.73958333333334,4.0347222222222205,13.246527777777779,16.90625,25.47569444444445,12.409722222222221,25.23958333333333,12.357638888888891,16.729166666666668,6.746527777777778,3.3715277777777777,22.46875,63.815972222222214,20.28819444444445,49.84375,4.9756944444444455,15.225694444444445,18.263888888888886,27.479166666666664,9.03125,22.052083333333336,11.548611111111109,13.909722222222225,7.795138888888888,4.284722222222221,20.76388888888889,231,SWAC,-6.44,93.1,99.5,65.1,0.053,-7.62,96.4,104.0,17.98,249,18,16,0,60.51,60.23,62.096296296296295,22.440740740740736,58.222222222222214,3.9592592592592597,14.918518518518518,13.255555555555556,20.71111111111111,13.433333333333335,24.58888888888889,10.718518518518517,12.111111111111109,8.651851851851854,3.7222222222222214,18.807407407407407,61.46666666666667,21.21111111111111,52.40000000000001,5.503703703703703,18.48888888888889,13.54074074074074,20.240740740740737,10.433333333333334,26.062962962962967,12.062962962962965,15.192592592592593,6.151851851851853,3.6,17.85185185185185,225,BSth,-5.63,90.7,96.3,64.0,0.049,-7.35,98.6,106.0,6.9,216,19,14,0,61.71,63.11,1
2010,1,1124,1358,03,14,76.16487455197134,26.967741935483872,55.72401433691756,7.003584229390682,18.121863799283158,15.225806451612902,20.763440860215052,12.10752688172043,26.225806451612907,13.57347670250896,13.863799283154124,6.318996415770608,6.8888888888888875,17.92831541218638,66.05017921146954,22.7921146953405,58.555555555555564,6.716845878136201,19.878136200716842,13.749103942652331,20.32974910394265,12.913978494623654,19.44444444444445,12.738351254480287,11.989247311827956,6.017921146953403,2.4516129032258065,18.57706093189964,8,B12,24.95,119.2,94.3,64.5,-0.021,10.59,108.3,97.7,-2.79,7,28,8,0,75.7,88.68,79.15079365079366,27.043650793650798,57.94047619047621,8.876984126984127,23.059523809523807,16.18650793650793,22.86111111111111,11.952380952380956,24.182539682539677,19.5,13.333333333333336,7.5,2.246031746031746,20.34126984126984,71.55952380952381,24.718253968253972,55.34126984126985,6.198412698412698,18.45634920634921,15.924603174603176,22.976190476190478,10.575396825396824,22.70634920634921,16.76984126984127,14.924603174603176,6.30952380952381,3.158730158730158,21.107142857142858,100,Slnd,7.42,110.2,102.7,69.3,0.052000000000000005,-3.33,101.3,104.6,4.67,112,25,8,0,63.0,72.72,1
2010,2,1124,1330,03,11,76.16487455197134,26.967741935483872,55.72401433691756,7.003584229390682,18.121863799283158,15.225806451612902,20.763440860215052,12.10752688172043,26.225806451612907,13.57347670250896,13.863799283154124,6.318996415770608,6.8888888888888875,17.92831541218638,66.05017921146954,22.7921146953405,58.555555555555564,6.716845878136201,19.878136200716842,13.749103942652331,20.32974910394265,12.913978494623654,19.44444444444445,12.738351254480287,11.989247311827956,6.017921146953403,2.4516129032258065,18.57706093189964,8,B12,24.95,119.2,94.3,64.5,-0.021,10.59,108.3,97.7,-2.79,7,28,8,0,75.7,88.68,67.29084967320262,25.754901960784316,57.447712418300654,4.607843137254903,14.591503267973854,11.173202614379086,17.330065359477118,15.160130718954251,23.87254901960784,15.467320261437907,12.745098039215687,7.803921568627452,2.931372549019608,15.643790849673204,56.92156862745098,20.591503267973856,51.395424836601315,5.326797385620916,17.787581699346408,10.411764705882351,15.68627450980392,10.0359477124183,20.287581699346408,10.99019607843137,14.261437908496733,6.34640522875817,3.5457516339869284,17.062091503267972,37,CAA,17.51,107.8,90.3,62.6,0.009000000000000001,3.17,105.0,101.9,6.16,44,27,9,0,71.07,81.13,1
2010,3,1124,1388,03,10,76.16487455197134,26.967741935483872,55.72401433691756,7.003584229390682,18.121863799283158,15.225806451612902,20.763440860215052,12.10752688172043,26.225806451612907,13.57347670250896,13.863799283154124,6.318996415770608,6.8888888888888875,17.92831541218638,66.05017921146954,22.7921146953405,58.555555555555564,6.716845878136201,19.878136200716842,13.749103942652331,20.32974910394265,12.913978494623654,19.44444444444445,12.738351254480287,11.989247311827956,6.017921146953403,2.4516129032258065,18.57706093189964,8,B12,24.95,119.2,94.3,64.5,-0.021,10.59,108.3,97.7,-2.79,7,28,8,0,75.7,88.68,78.52222222222224,27.93333333333333,57.788888888888884,8.474074074074075,20.585185185185193,14.181481481481484,18.537037037037035,10.803703703703704,25.73333333333333,16.355555555555554,11.411111111111113,5.155555555555557,5.2481481481481485,16.774074074074072,65.97037037037038,25.11111111111111,59.01481481481481,3.744444444444445,13.270370370370367,12.003703703703707,18.585185185185193,11.503703703703707,21.055555555555557,9.574074074074073,11.014814814814816,5.562962962962963,2.4592592592592597,17.507407407407406,29,WCC,18.59,116.5,97.9,66.2,0.038,2.72,105.4,102.7,1.18,49,28,6,0,70.56,80.84,1
2010,1,1139,1431,05,12,69.87152777777777,22.64236111111111,50.00347222222222,6.729166666666666,19.67708333333333,17.85763888888889,23.868055555555557,9.222222222222221,23.524305555555557,12.774305555555555,12.361111111111109,6.815972222222222,2.4548611111111107,18.45138888888889,59.81597222222222,21.10763888888889,50.923611111111114,4.986111111111111,16.145833333333332,12.614583333333332,18.256944444444443,8.70486111111111,20.319444444444443,10.489583333333332,13.642361111111109,5.166666666666667,3.045138888888889,20.809027777777782,12,Horz,22.45,111.0,88.5,63.0,0.032,6.85,106.7,99.9,11.11,10,33,5,0,74.7,87.24,75.0375,26.840277777777782,56.38819444444444,6.110416666666667,17.597916666666666,15.246527777777779,22.680555555555557,9.818055555555556,26.10833333333333,14.66875,12.970833333333333,8.636805555555558,3.692361111111111,19.08333333333333,63.46527777777778,21.166666666666664,54.16041666666668,5.652083333333334,18.365972222222226,15.47986111111111,23.154166666666665,11.324305555555556,23.78680555555556,11.277777777777779,15.744444444444444,5.685416666666666,2.370138888888889,18.761111111111113,42,CUSA,16.53,107.7,91.2,67.9,0.024,2.62,104.1,101.5,-4.26,46,26,7,0,69.82,81.05,1
2010,2,1139,1293,05,13,69.87152777777777,22.64236111111111,50.00347222222222,6.729166666666666,19.67708333333333,17.85763888888889,23.868055555555557,9.222222222222221,23.524305555555557,12.774305555555555,12.361111111111109,6.815972222222222,2.4548611111111107,18.45138888888889,59.81597222222222,21.10763888888889,50.923611111111114,4.986111111111111,16.145833333333332,12.614583333333332,18.256944444444443,8.70486111111111,20.319444444444443,10.489583333333332,13.642361111111109,5.166666666666667,3.045138888888889,20.809027777777782,12,Horz,22.45,111.0,88.5,63.0,0.032,6.85,106.7,99.9,11.11,10,33,5,0,74.7,87.24,76.09375,26.78125,53.9375,6.28125,16.90625,16.25,23.125,12.0,24.25,15.1875,14.5,9.28125,5.40625,17.46875,61.03125,21.28125,54.75,5.46875,16.09375,13.0,18.59375,12.125,18.71875,10.875,16.53125,6.46875,2.84375,18.75,53,OVC,15.06,109.0,94.0,65.6,-0.011000000000000001,-5.78,100.2,106.0,-5.24,70,31,5,0,63.35,77.79,1
2010,3,1139,1393,05,01,69.87152777777777,22.64236111111111,50.00347222222222,6.729166666666666,19.67708333333333,17.85763888888889,23.868055555555557,9.222222222222221,23.524305555555557,12.774305555555555,12.361111111111109,6.815972222222222,2.4548611111111107,18.45138888888889,59.81597222222222,21.10763888888889,50.923611111111114,4.986111111111111,16.145833333333332,12.614583333333332,18.256944444444443,8.70486111111111,20.319444444444443,10.489583333333332,13.642361111111109,5.166666666666667,3.045138888888889,20.809027777777782,12,Horz,22.45,111.0,88.5,63.0,0.032,6.85,106.7,99.9,11.11,10,33,5,0,74.7,87.24,81.46875,30.0625,58.28125,6.71875,17.4375,14.625,21.78125,12.125,26.03125,19.375,15.09375,10.0,6.5625,14.625,66.875,24.59375,61.65625,7.71875,24.90625,9.96875,15.625,14.0,20.5,15.84375,16.25,8.34375,2.3125,18.25,3,BE,27.62,118.5,90.9,68.7,-0.008,8.62,108.5,99.8,-2.96,5,30,5,0,76.99,89.87,1
2010,4,1139,1243,05,02,69.87152777777777,22.64236111111111,50.00347222222222,6.729166666666666,19.67708333333333,17.85763888888889,23.868055555555557,9.222222222222221,23.524305555555557,12.774305555555555,12.361111111111109,6.815972222222222,2.4548611111111107,18.45138888888889,59.81597222222222,21.10763888888889,50.923611111111114,4.986111111111111,16.145833333333332,12.614583333333332,18.256944444444443,8.70486111111111,20.319444444444443,10.489583333333332,13.642361111111109,5.166666666666667,3.045138888888889,20.809027777777782,12,Horz,22.45,111.0,88.5,63.0,0.032,6.85,106.7,99.9,11.11,10,33,5,0,74.7,87.24,78.90972222222223,26.069444444444446,58.06597222222222,6.6875,18.701388888888886,20.08333333333333,30.246527777777782,15.190972222222221,23.784722222222218,14.53125,14.506944444444445,7.409722222222222,4.791666666666666,22.29861111111111,68.6423611111111,22.746527777777782,54.32638888888889,5.3680555555555545,16.23611111111111,17.78125,25.64583333333333,11.822916666666664,21.805555555555557,11.881944444444445,16.93402777777778,7.121527777777778,3.46875,24.319444444444446,6,B12,25.52,116.1,90.6,69.4,-0.008,11.99,109.5,97.5,2.37,8,29,8,0,77.57,88.46,1
2010,5,1139,1277,05,05,69.87152777777777,22.64236111111111,50.00347222222222,6.729166666666666,19.67708333333333,17.85763888888889,23.868055555555557,9.222222222222221,23.524305555555557,12.774305555555555,12.361111111111109,6.815972222222222,2.4548611111111107,18.45138888888889,59.81597222222222,21.10763888888889,50.923611111111114,4.986111111111111,16.145833333333332,12.614583333333332,18.256944444444443,8.70486111111111,20.319444444444443,10.489583333333332,13.642361111111109,5.166666666666667,3.045138888888889,20.809027777777782,12,Horz,22.45,111.0,88.5,63.0,0.032,6.85,106.7,99.9,11.11,10,33,5,0,74.7,87.24,72.3923611111111,26.82986111111111,56.65972222222222,4.763888888888889,14.291666666666668,13.96875,20.475694444444443,13.472222222222221,25.42013888888889,16.65625,13.975694444444445,6.6805555555555545,3.0763888888888893,17.586805555555557,63.4375,22.45138888888889,55.42013888888889,6.684027777777778,20.607638888888886,11.850694444444445,16.614583333333332,10.038194444444443,19.826388888888886,12.892361111111109,12.888888888888891,6.354166666666666,2.5798611111111107,17.704861111111114,20,B10,20.13,112.8,92.7,65.3,0.027000000000000003,9.03,107.5,98.5,-0.94,15,28,9,0,78.14,86.45,1
2010,1,1140,1196,07,10,82.60606060606061,28.393939393939394,58.90909090909091,8.121212121212121,19.545454545454547,17.696969696969695,22.51515151515152,10.181818181818182,26.78787878787879,15.787878787878787,11.303030303030305,8.545454545454545,3.484848484848485,17.363636363636363,65.66666666666667,23.0,56.06060606060606,5.909090909090909,17.606060606060606,13.757575757575758,20.393939393939394,9.909090909090908,22.63636363636364,12.393939393939394,15.606060606060606,5.8181818181818175,2.878787878787879,18.363636363636363,10,MWC,23.27,117.3,94.0,71.1,-0.013000000000000001,3.88,104.9,101.0,-0.03,18,30,6,0,70.15,86.18,71.39730639730641,25.85185185185185,58.191919191919204,5.838383838383839,18.585858585858592,13.855218855218856,19.723905723905727,13.131313131313133,23.7003367003367,14.020202020202019,12.151515151515152,7.1111111111111125,2.7205387205387206,14.400673400673401,65.21885521885521,24.441077441077443,56.996632996633,6.006734006734008,18.713804713804716,10.32996632996633,15.32996632996633,11.659932659932661,22.656565656565647,12.922558922558922,13.68013468013468,6.491582491582491,4.02020202020202,17.13131313131313,50,SEC,15.23,113.0,97.8,63.9,-0.061,7.75,106.6,98.8,-1.96,39,21,13,0,75.8,81.64,1
